System	Family	Surface	True_eV	Prediction_eV	Error_eV	Abs_error_eV
Zn48C2H3O2	radicals	hcp(0001)	-20.577223139811395	-20.531482994942053	0.04574014486934175	0.04574014486934175
Ir48C2H4S	group3S	fcc(111)	-7.73679505997643	-6.144394508741243	1.5924005512351869	1.5924005512351869
Au72C3H8N2	amidines	fcc(110)	-75.79604375543931	-75.83130069322942	-0.03525693779010908	0.03525693779010908
Cd48C2H7N	group3N	hcp(0001)	-21.71335990064472	-21.743633476347895	-0.030273575703176903	0.030273575703176903
Ag48C4H9N	group3N	fcc(111)	-29.864742630246838	-30.32146881243898	-0.456726182192142	0.456726182192142
Ag48C3H7NO2	carbamate_esters	fcc(100)	-80.33406147771893	-80.3654779463377	-0.03141646861877234	0.03141646861877234
Ru48C3H8N2	amidines	hcp(0001)	-73.05352825230693	-72.9070442780212	0.14648397428572935	0.14648397428572935
Ni48C4H10N2	amidines	fcc(111)	-56.80986387961775	-56.836603211655984	-0.026739332038232533	0.026739332038232533
Ir48CH3NO	oximes	fcc(100)	-73.62579305632971	-73.61448277865202	0.011310277677694103	0.011310277677694103
Rh48C4H10N2	amidines	fcc(100)	-41.532882763184716	-41.746323686014875	-0.21344092283015925	0.21344092283015925
Fe48O	radicals	bcc(110)	-20.16452189067786	-19.98878509237693	0.1757367983009317	0.1757367983009317
Cu48C2HO	radicals	fcc(111)	-80.50041259511454	-80.55533601542629	-0.054923420311752125	0.054923420311752125
Rh48H2O	small_fragments2	fcc(111)	-90.64682919818006	-90.74754336472688	-0.10071416654682253	0.10071416654682253
Pd72C2H4O2	group4	fcc(110)	-33.27258757335039	-33.270666466327384	0.001921107023008517	0.001921107023008517
Pd48CH2S	group3S	fcc(111)	-90.44864633199177	-90.34692013813037	0.10172619386139559	0.10172619386139559
Ni48C3H6O2	group4	fcc(100)	-8.109845776874863	-8.657048945864517	-0.5472031689896539	0.5472031689896539
Au72C4H10N2	amidines	fcc(110)	-83.73140576499645	-83.67191600764636	0.05948975735009299	0.05948975735009299
Co48C4H9NO	oximes	hcp(0001)	-80.52737439867451	-80.5253555786694	0.0020188200051052263	0.0020188200051052263
Ru48CH2	small_fragments2	hcp(0001)	-28.845217589172535	-28.738747081055408	0.10647050811712688	0.10647050811712688
Rh72C4H11N	group3N	fcc(110)	-77.97172624942868	-77.89020395949046	0.08152228993822064	0.08152228993822064
Ag48HS	small_fragments2	fcc(100)	-85.2362903817666	-85.22350045036	0.01278993140658713	0.01278993140658713
Co48C2H4O	radicals	hcp(0001)	-8.51232903988057	-8.62683120615111	-0.11450216627054033	0.11450216627054033
Ni72CH2S	group3S	fcc(110)	-2.891857371181686	-2.9116547193043516	-0.019797348122665426	0.019797348122665426
Ir72C4H8	group2	fcc(110)	-35.11749591907028	-35.12666174576589	-0.009165826695607393	0.009165826695607393
Pt48CHO	radicals	fcc(111)	-8.512643117323023	-8.035259363790829	0.47738375353219453	0.47738375353219453
Pt48C2H4O2	radicals	fcc(111)	-24.176569823952377	-25.21990193516467	-1.043332111212294	1.043332111212294
Rh48H	small_fragments2	fcc(111)	-90.52345957878424	-90.62261731711624	-0.09915773833199637	0.09915773833199637
Ni48C4H8	group2	fcc(111)	-57.167717174269455	-57.13131908843843	0.03639808583102422	0.03639808583102422
Cu48HO	small_fragments2	fcc(100)	-90.26563340627399	-90.53501762866654	-0.2693842223925458	0.2693842223925458
Cu48CH2	radicals	fcc(111)	-74.61498345108703	-74.63813793809459	-0.02315448700755951	0.02315448700755951
Au48CH4N2	amidines	fcc(111)	-70.08559413410148	-70.13823351345673	-0.052639379355241545	0.052639379355241545
Pt48H	small_fragments2	fcc(111)	-5.7120564399556315	-5.737158207106404	-0.025101767150772503	0.025101767150772503
Ag72C4H8O	group2	fcc(110)	-90.78099959184692	-91.2935355906884	-0.5125359988414857	0.5125359988414857
Ru48H2O	small_fragments2	hcp(0001)	-80.27321595274225	-80.18831209567361	0.0849038570686389	0.0849038570686389
Co48CO	radicals	hcp(0001)	-45.80905150437866	-45.901012507091764	-0.0919610027131057	0.0919610027131057
Ir48CH2O2	group4	fcc(100)	-91.13761009950758	-91.26966919481129	-0.13205909530370263	0.13205909530370263
Cu48CH	small_fragments2	fcc(111)	-90.78321907244026	-91.06508961804502	-0.281870545604761	0.281870545604761
Ir48CH4N2	amidines	fcc(111)	-6.506487412647402	-6.561101990140742	-0.05461457749333931	0.05461457749333931
Ru48C4H11N	group3N	hcp(0001)	-29.615906052089485	-29.51271241862196	0.10319363346752652	0.10319363346752652
Pt72C2H6O	group2	fcc(110)	-64.38961039630067	-64.24003363164411	0.14957676465655823	0.14957676465655823
Cu48C4H10N2	amidines	fcc(100)	-15.953758904437564	-16.503813198654825	-0.5500542942172615	0.5500542942172615
Co48C3H6S	group3S	hcp(0001)	-7.329810020295554	-6.088080423309293	1.2417295969862607	1.2417295969862607
Pt48H2S	small_fragments2	fcc(111)	-25.34193149080602	-25.191971726157135	0.14995976464888372	0.14995976464888372
Ni48C4H8S	group3S	fcc(100)	-17.008287876473332	-16.97734077914356	0.030947097329772078	0.030947097329772078
Pd48C4H10N2	amidines	fcc(100)	-25.935469806930996	-25.530367487030162	0.4051023199008341	0.4051023199008341
Ni48C4H9N	group3N	fcc(100)	-86.3412183140681	-86.36317930679434	-0.021960992726235418	0.021960992726235418
Rh48C3H7NO	oximes	fcc(100)	-3.756823157949839	-3.836214955903415	-0.07939179795357632	0.07939179795357632
Fe48C4H10S	group3S	bcc(110)	-90.70747406256851	-90.71423021733062	-0.0067561547621153295	0.0067561547621153295
Ru48C2H4O	radicals	hcp(0001)	-75.04725695950947	-75.00676714255314	0.04048981695632392	0.04048981695632392
Ir48C2H6O	group2	fcc(111)	-14.582385118705133	-14.544605092127313	0.037780026577820536	0.037780026577820536
Pt72CH3N	group3N	fcc(110)	-16.717539408495213	-16.645339983973827	0.07219942452138639	0.07219942452138639
Cu48C3H6O	group2b	fcc(100)	-23.977271982843376	-24.35074146966508	-0.3734694868217048	0.3734694868217048
Ir48C2H6N2	amidines	fcc(100)	-6.717791736431536	-6.74132311637004	-0.02353137993850396	0.02353137993850396
Pd48CH	small_fragments2	fcc(111)	-5.43860316980863	-5.786304347351688	-0.3477011775430583	0.3477011775430583
Au48CH2	radicals	fcc(111)	-27.41544982738924	-27.359943618934267	0.055506208454971784	0.055506208454971784
Ag48C2H6S	group3S	fcc(100)	-92.919182984082	-92.95189240483887	-0.03270942075687344	0.03270942075687344
Rh48C4H8O2	group4	fcc(100)	-91.66796126883492	-91.57366824111159	0.09429302772332449	0.09429302772332449
Os48H3N	small_fragments2	hcp(0001)	-79.01101723088141	-79.0571866149221	-0.04616938404069515	0.04616938404069515
